onset	duration	run_number	trial_number	image_contrast	image_num
6856.226535	32.0092624	7	49	1	77
6888.414585	32.0042243	7	50	1	47
6920.583867	31.996147	7	51	2	62
6952.762902	31.9957551	7	52	2	43
6984.943599	32.0079897	7	53	2	71
7017.137488	32.0036513	7	54	2	73
7049.306788	31.9993743	7	55	1	48
7081.477251	29.9956758	7	56	2	78
