onset	duration	run_number	trial_number	image_contrast	image_num
2409.122442	32.0523793	2	9	1	33
2441.344592	32.0044038	2	10	1	58
2473.506906	31.9962717	2	11	1	17
2505.668425	31.9972743	2	12	1	78
2537.866176	32.0085116	2	13	2	60
2570.019202	31.9970388	2	14	1	68
2602.190449	31.9982539	2	15	1	72
2634.369789	29.9949187	2	16	2	45
